Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc]
2018;09;06;00;00;19.99;0.00
2018;09;06;01;00;18.75;0.00
2018;09;06;02;00;17.53;0.00
2018;09;06;03;00;16.52;0.00
2018;09;06;04;00;15.85;0.00
2018;09;06;05;00;15.33;0.00
2018;09;06;06;00;15.01;0.00
2018;09;06;07;00;15.04;0.00
2018;09;06;08;00;16.18;0.00
2018;09;06;09;00;18.07;0.00
2018;09;06;10;00;20.23;0.00
2018;09;06;11;00;22.40;0.00
2018;09;06;12;00;23.75;0.00
2018;09;06;13;00;24.45;0.00
2018;09;06;14;00;24.95;0.00
2018;09;06;15;00;25.37;0.00
2018;09;06;16;00;25.65;0.00
2018;09;06;17;00;25.66;0.00
2018;09;06;18;00;25.42;0.00
