Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc]
2018;09;06;00;00;19.99;0.00
2018;09;06;01;00;18.75;0.00
2018;09;06;02;00;17.53;0.00
2018;09;06;03;00;16.52;0.00
2018;09;06;04;00;15.85;0.00
2018;09;06;05;00;15.33;0.00
2018;09;06;06;00;15.01;0.00
2018;09;06;07;00;15.04;0.00
2018;09;06;08;00;16.18;0.00
2018;09;06;09;00;18.07;0.00
2018;09;06;10;00;20.23;0.00
2018;09;06;11;00;22.40;0.00
2018;09;06;12;00;23.75;0.00
2018;09;06;13;00;24.45;0.00
2018;09;06;14;00;24.95;0.00
2018;09;06;15;00;25.37;0.00
2018;09;06;16;00;25.65;0.00
2018;09;06;17;00;25.66;0.00
2018;09;06;18;00;25.42;0.00
2018;09;06;19;00;24.84;0.00
2018;09;06;20;00;24.13;0.00
2018;09;06;21;00;23.51;0.00
2018;09;06;22;00;22.59;0.00
2018;09;06;23;00;21.35;0.00
2018;09;07;00;00;20.04;0.00
2018;09;07;01;00;18.66;0.00
2018;09;07;02;00;17.17;0.00
2018;09;07;03;00;16.31;0.00
2018;09;07;04;00;16.16;0.00
2018;09;07;05;00;15.30;0.00
2018;09;07;06;00;14.61;0.00
2018;09;07;07;00;14.36;0.00
2018;09;07;08;00;16.37;0.00
2018;09;07;09;00;18.96;0.00
2018;09;07;10;00;21.54;0.00
2018;09;07;11;00;23.79;0.00
2018;09;07;12;00;24.07;0.30
2018;09;07;13;00;24.13;0.30
2018;09;07;14;00;22.43;0.30
2018;09;07;15;00;22.59;0.00
2018;09;07;16;00;22.39;0.00
2018;09;07;17;00;21.91;0.00
2018;09;07;18;00;21.72;0.30
2018;09;07;19;00;21.31;0.40
2018;09;07;20;00;20.49;0.40
2018;09;07;21;00;19.57;0.00
2018;09;07;22;00;18.86;0.00
2018;09;07;23;00;17.45;0.00
2018;09;08;00;00;16.75;0.00
2018;09;08;01;00;16.00;0.00
2018;09;08;02;00;14.90;0.00
2018;09;08;03;00;13.87;0.00
2018;09;08;04;00;13.08;0.00
2018;09;08;05;00;12.44;0.00
2018;09;08;06;00;12.40;0.00
2018;09;08;07;00;13.08;0.00
2018;09;08;08;00;14.88;0.00
2018;09;08;09;00;15.74;0.00
2018;09;08;10;00;17.02;0.00
2018;09;08;11;00;18.27;0.00
2018;09;08;12;00;19.39;0.00
2018;09;08;13;00;20.44;0.00
2018;09;08;14;00;21.94;0.00
2018;09;08;15;00;22.75;0.00
2018;09;08;16;00;23.31;0.00
2018;09;08;17;00;23.34;0.00
2018;09;08;18;00;22.92;0.00
2018;09;08;19;00;22.30;0.00
2018;09;08;20;00;21.53;0.00
2018;09;08;21;00;20.83;0.00
2018;09;08;22;00;19.93;0.00
2018;09;08;23;00;19.04;0.00
2018;09;09;00;00;18.18;0.00
2018;09;09;01;00;17.48;0.00
2018;09;09;02;00;16.57;0.00
2018;09;09;03;00;16.12;0.00
2018;09;09;04;00;15.82;0.00
2018;09;09;05;00;15.24;0.00
2018;09;09;06;00;14.29;0.00
